row,user_side,candidate_header_pin,resistance_to_ground,candidate_standard_mips_ejtag_function,assignment_confidence,evidence_note
1,J2-1,1,975 ohm,TRST_N,medium-high,"Assumes boxed upper-left pad is pin 1 and user rows proceed top-to-bottom"
1,J2-2,2,0 ohm,GND,confirmed,"Direct ground continuity"
2,J2-1,3,1.314 kohm,TDI,medium-high,"Position matches common 14-pin MIPS EJTAG layout"
2,J2-2,4,0 ohm,GND,confirmed,"Direct ground continuity"
3,J2-1,5,OL,TDO,medium-high,"Unpowered open circuit is plausible for target output; function not electrically proven"
3,J2-2,6,0 ohm,GND,confirmed,"Direct ground continuity"
4,J2-1,7,1.315 kohm,TMS,medium-high,"Position matches common 14-pin MIPS EJTAG layout"
4,J2-2,8,0 ohm,GND,confirmed,"Direct ground continuity"
5,J2-1,9,1.325 kohm,TCK,medium-high,"Position matches common 14-pin MIPS EJTAG layout"
5,J2-2,10,0 ohm,GND,confirmed,"Direct ground continuity"
6,J2-1,11,4.979 kohm,SRST_N,medium-high,"Resistance is consistent with a pulled reset/control input but requires powered observation"
6,J2-2,12,OL,KEY_OR_NC,high,"Exact position and open circuit strongly fit the keyed/unused position of common MIPS14"
7,J2-1,13,OL,DINT,medium,"Position matches common MIPS14; DINT may be absent or left unconnected"
7,J2-2,14,346 ohm,VREF,high,"Zero-ohm linked to JP1/JP2 candidate supply pin according to user notes; powered voltage still required"
